City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Guerrero Negro,94,MX,1561607059,86,-114.04,-114.04,63.41,17.67
Busselton,30,AU,1561607043,44,115.35,115.35,60.01,29.59
Dukat,1,AL,1561607060,52,19.57,19.57,78.01,5.35
Butaritari,1,KI,1561607039,75,172.79,172.79,83.75,12.95
Chuy,4,UY,1561607060,81,-53.46,-53.46,44.69,9.71
Husavik,0,CA,1561607060,49,-96.99,-96.99,68.0,5.23
Kulhudhuffushi,100,MV,1561607060,78,73.07,73.07,82.67,11.43
Muros,20,ES,1561607060,100,-9.06,-9.06,63.0,1.12
Bredasdorp,0,ZA,1561606446,93,20.04,20.04,48.99,3.36
Lebu,93,ET,1561607061,74,38.73,38.73,56.57,0.98
Vaini,75,IN,1561607061,88,74.49,74.49,73.4,9.17
Gondanglegi,73,ID,1561607061,67,112.01,112.01,78.35,10.74
Rikitea,0,PF,1561607035,81,-134.97,-134.97,74.21,10.65
Qaanaaq,0,GL,1561607061,69,-69.36,-69.36,34.79,0.65
Katsuura,90,JP,1561607062,100,134.5,134.5,77.0,29.97
Shenzhen,20,CN,1561607062,84,114.05,114.05,91.99,8.95
Launceston,100,AU,1561606830,71,147.14,147.14,55.0,8.05
Yulara,0,AU,1561607062,20,130.99,130.99,66.2,6.93
Albany,1,US,1561606774,82,-73.75,-73.75,70.0,3.85
New Norfolk,0,AU,1561607062,58,147.06,147.06,59.0,13.87
Grand Gaube,75,MU,1561607063,94,57.66,57.66,75.0,16.11
Sedniv,100,UA,1561607063,91,31.56,31.56,67.37,11.95
Orange Walk,20,JM,1561607063,66,-76.27,-76.27,84.2,3.36
Katangli,76,RU,1561607063,63,143.23,143.23,58.55,18.21
Luanda,99,AO,1561606909,80,13.24,13.24,71.69,11.9
Torbay,20,CA,1561607049,87,-52.73,-52.73,46.99,4.7
Puerto Ayora,0,EC,1561607064,95,-90.35,-90.35,72.0,12.64
Ilulissat,0,GL,1561607064,80,-51.1,-51.1,41.0,6.93
Half Moon Bay,90,US,1561607064,93,-122.43,-122.43,63.0,11.41
Bluff,21,AU,1561607064,53,149.07,149.07,73.49,19.19
Tasiilaq,100,GL,1561607065,87,-37.64,-37.64,42.8,2.24
Ushuaia,90,AR,1561607044,92,-68.31,-68.31,28.4,18.34
Port Alfred,0,ZA,1561607065,92,26.89,26.89,54.0,13.6
Tuktoyaktuk,90,CA,1561607065,80,-133.03,-133.03,41.0,12.75
Santa Luzia,0,BR,1561607066,72,-43.85,-43.85,69.8,2.35
Nekhayevskiy,100,RU,1561607066,58,41.76,41.76,64.0,4.0
Mataura,9,NZ,1561607046,85,168.86,168.86,53.01,1.99
Grindavik,90,IS,1561607066,100,-22.43,-22.43,50.0,17.22
Codrington,70,AU,1561607067,72,153.24,153.24,68.0,11.41
Rawson,0,AR,1561607067,53,-65.11,-65.11,46.49,20.0
Pevek,32,RU,1561607067,81,170.27,170.27,36.05,26.73
Srednekolymsk,0,RU,1561607067,24,153.71,153.71,72.95,18.61
Yellowknife,75,CA,1561607068,81,-114.38,-114.38,51.8,17.22
Korfovskiy,0,RU,1561607068,63,135.06,135.06,60.8,15.66
Carnarvon,0,ZA,1561607068,48,22.13,22.13,38.75,6.78
Tura,86,RU,1561607068,50,100.22,100.22,75.29,0.29
Omboue,98,GA,1561607069,79,9.26,9.26,74.57,11.03
Fortuna,1,US,1561607069,72,-124.16,-124.16,59.0,4.7
Tynda,100,RU,1561607069,47,124.74,124.74,70.25,3.22
Sri Aman,75,MY,1561607069,79,111.46,111.46,87.8,6.93
Port Elizabeth,1,US,1561607069,88,-74.98,-74.98,78.8,6.04
Shenjiamen,52,CN,1561607070,86,122.3,122.3,74.21,6.38
Vargem Grande,75,BR,1561607070,88,-46.2,-46.2,64.4,4.7
Victoria,75,BN,1561607046,74,115.24,115.24,87.8,3.36
Doha,0,QA,1561606917,55,51.53,51.53,91.4,3.36
Broome,1,GB,1561607071,87,1.45,1.45,55.99,4.7
Cape Town,0,ZA,1561607046,100,18.42,18.42,57.0,5.82
Kampene,92,CD,1561607071,86,26.67,26.67,70.07,1.61
Hobart,0,AU,1561607071,58,147.33,147.33,59.0,13.87
Nioro,67,GM,1561607071,63,-15.05,-15.05,78.53,10.16
Port-Cartier,90,CA,1561607072,93,-66.88,-66.88,55.4,9.17
Diamantino,0,BR,1561607072,83,-56.44,-56.44,67.73,1.86
Cherskiy,91,RU,1561607072,36,161.3,161.3,64.31,17.78
Navirai,0,BR,1561607047,93,-54.19,-54.19,55.49,3.89
Geraldton,75,CA,1561607072,60,-86.95,-86.95,68.0,4.7
Carlet,0,ES,1561607072,88,-0.52,-0.52,73.0,3.36
Sao Miguel do Araguaia,2,BR,1561606899,48,-50.16,-50.16,71.33,3.49
Jamestown,0,AU,1561607073,49,138.6,138.6,64.49,16.24
Tilichiki,100,RU,1561607073,54,166.1,166.1,58.37,2.48
Mahebourg,75,MU,1561607073,94,57.7,57.7,75.0,16.11
Teknaf,100,BD,1561607074,77,92.31,92.31,84.47,6.11
Makakilo City,75,US,1561607074,88,-158.09,-158.09,82.4,4.7
Umkomaas,0,ZA,1561607074,93,30.8,30.8,53.01,4.5
Beringovskiy,99,RU,1561607074,87,179.32,179.32,49.01,4.36
Bandundu,0,CD,1561607075,57,17.38,17.38,72.41,2.86
Hermanus,0,ZA,1561607075,98,19.24,19.24,50.0,3.0
Longkou,100,CN,1561607075,65,120.47,120.47,76.73,5.5
Muslyumovo,87,RU,1561607075,82,53.19,53.19,52.43,2.48
Nouakchott,0,MR,1561607072,35,-15.98,-15.98,87.8,14.99
Tuatapere,77,NZ,1561607076,85,167.69,167.69,53.01,1.99
Atuona,10,PF,1561607076,71,-139.03,-139.03,81.05,17.45
Norman Wells,20,CA,1561607076,38,-126.83,-126.83,60.8,5.82
Guangyuan,100,CN,1561607076,96,105.86,105.86,67.19,1.34
Punta Arenas,0,CL,1561607076,85,-70.91,-70.91,24.8,10.29
El Sauce,96,SV,1561607077,92,-87.8,-87.8,75.47,1.92
